地區,ID,名稱,英文,家族名稱
▼地區-關都,#001,妙蛙種子,Bulbasaur,妙蛙花
▼地區-關都,#002,妙蛙草,Ivysaur,妙蛙花
▼地區-關都,#003,妙蛙花,Venusaur,妙蛙花
▼地區-關都,#004,小火龍,Charmander,噴火龍
▼地區-關都,#005,火恐龍,Charmeleon,噴火龍
▼地區-關都,#006,噴火龍,Charizard,噴火龍
▼地區-關都,#007,傑尼龜,Squirtle,水箭龜
▼地區-關都,#008,卡咪龜,Wartortle,水箭龜
▼地區-關都,#009,水箭龜,Blastoise,水箭龜
▼地區-關都,#010,綠毛蟲,Caterpie,巴大蝶
▼地區-關都,#011,鐵甲蛹,Metapod,巴大蝶
▼地區-關都,#012,巴大蝶,Butterfree,巴大蝶
▼地區-關都,#013,獨角蟲,Weedle,大針蜂
▼地區-關都,#014,鐵殼蛹,Kakuna,大針蜂
▼地區-關都,#015,大針蜂,Beedrill,大針蜂
▼地區-關都,#016,波波,Pidgey,大比鳥
▼地區-關都,#017,比比鳥,Pidgeotto,大比鳥
▼地區-關都,#018,大比鳥,Pidgeot,大比鳥
▼地區-關都,#019,小拉達,Rattata,拉達-關都
▼地區-關都,#020,拉達,Raticate,拉達-關都
▼地區-關都,#021,烈雀,Spearow,大嘴雀
▼地區-關都,#022,大嘴雀,Fearow,大嘴雀
▼地區-關都,#023,阿柏蛇,Ekans,阿柏怪
▼地區-關都,#024,阿柏怪,Arbok,阿柏怪
▼地區-關都,#025,皮卡丘,Pikachu,雷丘-阿羅拉
▼地區-關都,#026,雷丘,Raichu,雷丘-關都
▼地區-關都,#027,穿山鼠,Sandshrew,穿山王-關都
▼地區-關都,#028,穿山王,Sandslash,穿山王-關都
▼地區-關都,#029,尼多蘭,Nidoran♀,尼多后
▼地區-關都,#030,尼多娜,Nidorina,尼多后
▼地區-關都,#031,尼多后,Nidoqueen,尼多后
▼地區-關都,#032,尼多朗,Nidoran♂,尼多王
▼地區-關都,#033,尼多力諾,Nidorino,尼多王
▼地區-關都,#034,尼多王,Nidoking,尼多王
▼地區-關都,#035,皮皮,Clefairy,皮可西
▼地區-關都,#036,皮可西,Clefable,皮可西
▼地區-關都,#037,六尾,Vulpix,九尾-關都
▼地區-關都,#038,九尾,Ninetales,九尾-關都
▼地區-關都,#039,胖丁,Jigglypuff,胖可丁
▼地區-關都,#040,胖可丁,Wigglytuff,胖可丁
▼地區-關都,#041,超音蝠,Zubat,叉字蝠
▼地區-關都,#042,大嘴蝠,Golbat,叉字蝠
▼地區-關都,#043,走路草,Oddish,美麗花
▼地區-關都,#044,臭臭花,Gloom,美麗花
▼地區-關都,#045,霸王花,Vileplume,霸王花
▼地區-關都,#046,派拉斯,Paras,派拉斯特
▼地區-關都,#047,派拉斯特,Parasect,派拉斯特
▼地區-關都,#048,毛球,Venonat,摩魯蛾
▼地區-關都,#049,摩魯蛾,Venomoth,摩魯蛾
▼地區-關都,#050,地鼠,Diglett,三地鼠-關都
▼地區-關都,#051,三地鼠,Dugtrio,三地鼠-關都
▼地區-關都,#052,喵喵,Meowth,貓老大-關都
▼地區-關都,#053,貓老大,Persian,貓老大-關都
▼地區-關都,#054,可達鴨,Psyduck,哥達鴨
▼地區-關都,#055,哥達鴨,Golduck,哥達鴨
▼地區-關都,#056,猴怪,Mankey,火爆猴
▼地區-關都,#057,火爆猴,Primeape,火爆猴
▼地區-關都,#058,卡蒂狗,Growlithe,風速狗-關都
▼地區-關都,#059,風速狗,Arcanine,風速狗-關都
▼地區-關都,#060,蚊香蝌蚪,Poliwag,蚊香蛙皇
▼地區-關都,#061,蚊香君,Poliwhirl,蚊香蛙皇
▼地區-關都,#062,蚊香泳士,Poliwrath,蚊香泳士
▼地區-關都,#063,凱西,Abra,胡地
